[Data]
Tagname,TimeStamp,Value
35T.SSP_Vmon_ch0.F_CV,01/30/2015 12:47:04,26.1096
35T.SSP_Imon_ch0.F_CV,01/30/2015 12:47:04,1.82493e-05
35T.SSP_Vset_ch0.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch1.F_CV,01/30/2015 12:47:04,26.2592
35T.SSP_Imon_ch1.F_CV,01/30/2015 12:47:04,1.07612e-05
35T.SSP_Vset_ch1.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch2.F_CV,01/30/2015 12:47:04,26.3985
35T.SSP_Imon_ch2.F_CV,01/30/2015 12:47:04,3.78691e-06
35T.SSP_Vset_ch2.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch3.F_CV,01/30/2015 12:47:04,26.4278
35T.SSP_Imon_ch3.F_CV,01/30/2015 12:47:04,2.31865e-06
35T.SSP_Vset_ch3.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch4.F_CV,01/30/2015 12:47:04,26.3384
35T.SSP_Imon_ch4.F_CV,01/30/2015 12:47:04,6.79685e-06
35T.SSP_Vset_ch4.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch5.F_CV,01/30/2015 12:47:04,26.3457
35T.SSP_Imon_ch5.F_CV,01/30/2015 12:47:04,6.42979e-06
35T.SSP_Vset_ch5.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch6.F_CV,01/30/2015 12:47:04,26.3281
35T.SSP_Imon_ch6.F_CV,01/30/2015 12:47:04,7.31074e-06
35T.SSP_Vset_ch6.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch7.F_CV,01/30/2015 12:47:04,26.3296
35T.SSP_Imon_ch7.F_CV,01/30/2015 12:47:04,7.23733e-06
35T.SSP_Vset_ch7.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch8.F_CV,01/30/2015 12:47:04,26.29
35T.SSP_Imon_ch8.F_CV,01/30/2015 12:47:04,9.21949e-06
35T.SSP_Vset_ch8.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch9.F_CV,01/30/2015 12:47:04,26.1478
35T.SSP_Imon_ch9.F_CV,01/30/2015 12:47:04,1.63406e-05
35T.SSP_Vset_ch9.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch10.F_CV,01/30/2015 12:47:04,26.3926
35T.SSP_Imon_ch10.F_CV,01/30/2015 12:47:04,4.08057e-06
35T.SSP_Vset_ch10.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch11.F_CV,01/30/2015 12:47:04,26.331
35T.SSP_Imon_ch11.F_CV,01/30/2015 12:47:04,7.16392e-06
35T.SSP_Vset_ch11.F_CV,01/30/2015 12:47:04,26.4982
35T.SSP_Vmon_ch0.F_CV,01/30/2015 12:47:34,26.1096
35T.SSP_Imon_ch0.F_CV,01/30/2015 12:47:34,1.82493e-05
35T.SSP_Vset_ch0.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch1.F_CV,01/30/2015 12:47:34,26.2592
35T.SSP_Imon_ch1.F_CV,01/30/2015 12:47:34,1.07612e-05
35T.SSP_Vset_ch1.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch2.F_CV,01/30/2015 12:47:34,26.3999
35T.SSP_Imon_ch2.F_CV,01/30/2015 12:47:34,3.7135e-06
35T.SSP_Vset_ch2.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch3.F_CV,01/30/2015 12:47:34,26.4307
35T.SSP_Imon_ch3.F_CV,01/30/2015 12:47:34,2.17182e-06
35T.SSP_Vset_ch3.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch4.F_CV,01/30/2015 12:47:34,26.3398
35T.SSP_Imon_ch4.F_CV,01/30/2015 12:47:34,6.72344e-06
35T.SSP_Vset_ch4.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch5.F_CV,01/30/2015 12:47:34,26.3472
35T.SSP_Imon_ch5.F_CV,01/30/2015 12:47:34,6.35637e-06
35T.SSP_Vset_ch5.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch6.F_CV,01/30/2015 12:47:34,26.3325
35T.SSP_Imon_ch6.F_CV,01/30/2015 12:47:34,7.09051e-06
35T.SSP_Vset_ch6.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch7.F_CV,01/30/2015 12:47:34,26.331
35T.SSP_Imon_ch7.F_CV,01/30/2015 12:47:34,7.16392e-06
35T.SSP_Vset_ch7.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch8.F_CV,01/30/2015 12:47:34,26.29
35T.SSP_Imon_ch8.F_CV,01/30/2015 12:47:34,9.21949e-06
35T.SSP_Vset_ch8.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch9.F_CV,01/30/2015 12:47:34,26.1507
35T.SSP_Imon_ch9.F_CV,01/30/2015 12:47:34,1.61937e-05
35T.SSP_Vset_ch9.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch10.F_CV,01/30/2015 12:47:34,26.3941
35T.SSP_Imon_ch10.F_CV,01/30/2015 12:47:34,4.00715e-06
35T.SSP_Vset_ch10.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch11.F_CV,01/30/2015 12:47:34,26.3325
35T.SSP_Imon_ch11.F_CV,01/30/2015 12:47:34,7.09051e-06
35T.SSP_Vset_ch11.F_CV,01/30/2015 12:47:34,26.4982
35T.SSP_Vmon_ch0.F_CV,01/30/2015 12:48:04,26.1111
35T.SSP_Imon_ch0.F_CV,01/30/2015 12:48:04,1.81759e-05
35T.SSP_Vset_ch0.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch1.F_CV,01/30/2015 12:48:04,26.2607
35T.SSP_Imon_ch1.F_CV,01/30/2015 12:48:04,1.06877e-05
35T.SSP_Vset_ch1.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch2.F_CV,01/30/2015 12:48:04,26.3999
35T.SSP_Imon_ch2.F_CV,01/30/2015 12:48:04,3.7135e-06
35T.SSP_Vset_ch2.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch3.F_CV,01/30/2015 12:48:04,26.4322
35T.SSP_Imon_ch3.F_CV,01/30/2015 12:48:04,2.09841e-06
35T.SSP_Vset_ch3.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch4.F_CV,01/30/2015 12:48:04,26.3398
35T.SSP_Imon_ch4.F_CV,01/30/2015 12:48:04,6.72344e-06
35T.SSP_Vset_ch4.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch5.F_CV,01/30/2015 12:48:04,26.3472
35T.SSP_Imon_ch5.F_CV,01/30/2015 12:48:04,6.35637e-06
35T.SSP_Vset_ch5.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch6.F_CV,01/30/2015 12:48:04,26.331
35T.SSP_Imon_ch6.F_CV,01/30/2015 12:48:04,7.16392e-06
35T.SSP_Vset_ch6.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch7.F_CV,01/30/2015 12:48:04,26.331
35T.SSP_Imon_ch7.F_CV,01/30/2015 12:48:04,7.16392e-06
35T.SSP_Vset_ch7.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch8.F_CV,01/30/2015 12:48:04,26.29
35T.SSP_Imon_ch8.F_CV,01/30/2015 12:48:04,9.21949e-06
35T.SSP_Vset_ch8.F_CV,01/30/2015 12:48:04,26.4982
35T.SSP_Vmon_ch9.F_CV,01/30/2015 12:48:04,26.1492
